SrNo,StateName,StateCode,TIN,Population,AreaInSqKm,DensityPerSqKm
35,Uttar Pradesh,UP,09,199812341,240928,828
6,Bihar,BH,10,103804637,94163,1102
37,West Bengal,WB,19,91347736,88752,1029
21,Madhya Pradesh,MP,23,72597565,308245,236
32,Tamil Nadu,TN,33,72138958,130058,555
30,Rajasthan,RJ,08,68621012,342239,201
18,Karnataka,KA,29,61130704,191791,319
13,Gujarat,GJ,24,60383628,196024,308
2,Andhra Pradesh,AP,28,49386799,162968,303
27,Odisha,OR,21,41947358,155707,269
33,Telangana,TS,36,35286757,114840,307
19,Kerala,KL,32,33387677,38863,859
17,Jharkhand,JH,20,32966238,79714,414
5,Assam,AS,18,31169272,78438,397
29,Punjab,PB,03,27704236,50362,550
8,Chattisgarh,CT,22,25540196,135191,189
14,Haryana,HR,06,25353081,44212,573
16,Jammu and Kashmir,JK,01,12548926,222236,57
36,Uttarakhand,UT,05,10116752,53483,189
15,Himachal Pradesh,HP,02,6864602,55673,123
34,Tripura,TR,16,3671032,10486,350
24,Meghalaya,ME,17,2964007,22429,132
23,Manipur,MN,14,2721756,22327,122
26,Nagaland,NL,13,1980602,16579,119
12,Goa,GA,30,1457723,3702,394
4,Arunachal Pradesh,AR,12,1382611,0,0
25,Mizoram,MI,15,1091014,21081,52
31,Sikkim,SK,11,607688,7096,86
